iter	Passed	Remaining
777	3609	1029
778	3614	1025
779	3619	1020
780	3623	1016
781	3628	1011
782	3633	1007
783	3637	1002
784	3642	997
785	3647	992
786	3651	988
787	3656	983
788	3660	978
789	3664	974
790	3669	969
791	3673	964
792	3678	960
793	3682	955
794	3686	950
795	3691	946
796	3695	941
797	3700	936
798	3705	932
799	3708	927
800	3713	922
801	3718	917
802	3722	913
803	3727	908
804	3730	903
805	3734	898
806	3738	894
807	3743	889
808	3747	884
809	3751	880
810	3756	875
811	3761	870
812	3765	866
813	3769	861
814	3774	856
815	3778	852
816	3783	847
817	3786	842
818	3791	837
819	3795	833
820	3800	828
821	3805	823
822	3806	818
823	3811	814
824	3816	809
825	3821	804
826	3825	800
827	3830	795
828	3835	791
829	3839	786
830	3844	781
831	3848	777
832	3853	772
833	3857	767
834	3860	762
835	3864	758
836	3869	753
837	3873	748
838	3878	744
839	3882	739
840	3886	734
841	3890	730
842	3895	725
843	3899	720
844	3902	715
845	3907	711
846	3910	706
847	3915	701
848	3920	697
849	3924	692
850	3929	687
851	3932	683
852	3935	678
853	3939	673
854	3944	668
855	3949	664
856	3954	659
857	3958	655
858	3963	650
859	3967	645
860	3971	641
861	3974	636
862	3978	631
863	3982	626
864	3985	622
865	3989	617
866	3995	612
867	3999	608
868	4002	603
869	4007	598
870	4012	594
871	4017	589
872	4021	585
873	4026	580
874	4031	575
875	4036	571
876	4041	566
877	4045	562
878	4048	557
879	4050	552
880	4052	547
881	4054	542
882	4056	537
883	4058	532
884	4061	527
885	4067	523
886	4071	518
887	4077	514
888	4082	509
889	4087	505
890	4092	500
891	4096	495
892	4101	491
893	4106	486
894	4111	482
895	4115	477
896	4119	473
897	4124	468
898	4127	463
899	4131	459
900	4135	454
901	4140	449
902	4144	445
903	4149	440
904	4153	436
905	4157	431
906	4162	426
907	4164	421
908	4169	417
909	4174	412
910	4178	408
911	4183	403
912	4187	399
913	4191	394
914	4195	389
915	4199	385
916	4204	380
917	4208	375
918	4213	371
919	4216	366
920	4221	362
921	4222	357
922	4226	352
923	4230	347
924	4234	343
925	4239	338
926	4242	334
927	4251	329
928	4255	325
929	4260	320
930	4265	316
931	4270	311
932	4274	306
933	4278	302
934	4280	297
935	4284	292
936	4288	288
937	4293	283
938	4297	279
939	4299	274
940	4303	269
941	4307	265
942	4311	260
943	4315	256
944	4319	251
945	4322	246
946	4327	242
947	4330	237
948	4333	232
949	4337	228
950	4340	223
951	4343	219
952	4348	214
953	4351	209
954	4354	205
955	4357	200
956	4361	195
957	4364	191
958	4368	186
959	4371	182
960	4376	177
961	4380	173
962	4385	168
963	4389	163
964	4394	159
965	4399	154
966	4403	150
967	4407	145
968	4409	141
969	4412	136
970	4415	131
971	4418	127
972	4422	122
973	4426	118
974	4430	113
975	4433	109
976	4437	104
977	4441	99
978	4444	95
979	4447	90
980	4451	86
981	4455	81
982	4459	77
983	4463	72
984	4466	68
985	4470	63
986	4474	58
987	4479	54
988	4483	49
989	4488	45
990	4492	40
991	4497	36
992	4502	31
993	4505	27
994	4510	22
995	4514	18
996	4517	13
997	4520	9
998	4524	4
999	4528	0
